招标单位,年份,地区,新老客户,服装类型,单位,中标情况,报价,成本,限价,评标方法
安庆横江集团有限责任公司,2023,安徽,新,工装,安徽虎罗服饰有限公司,1,250400,,255000,"3.1.1评审基准值（A值）：
所有通过合格性评审的报价的算术平均值作为A值。
3.1.2报价得分(C值)按以下公式计算（得分保留小数点后两位）：
C＝100－	│Fi－A│	×100×K
	A	
式中：
C----报价得分
A----评审基准值
Fi----通过 符合性评审的供应商最终报价（i=1、2、3、4……）
若Fi≥A，则K＝1；若Fi＜A，则K＝0.3。
报价得分保留小数点后两位，报价得分扣至0分为止。"
中国农业银行股份有限公司内蒙古自治区分行,2023,内蒙古,老,羽绒服,海澜之家集团股份有限公司,0,960.5,,1000,"1.投标人评审价格的计算：
投标人评审价格为单价不含税报价。
2.评标基准价计算方法：
1）经初审合格的投标文件，其投标报价为有效投标价，评标计算价格分时，以不含税报价为依据；
2）当有效投标人数量＜8家时，计算所有有效投标人评审价的算术平均值的98%作为基准价；
评标基准价的计算方法： A=（a1+a2+……+aN）/N*0.98
3）16>当有效投标人数量≥8家时，去掉1个最高和1个最低的有效投标人评审价后，再计算其余有效投标人评审价的算术平均值的98%为基准价。
评标基准价的计算方法：去掉1个最高和1个最低有效投标人的评审价， A= 【a1+a2+……+aN-a（min）-a（max）】/（N-2）*0.98；
4）当有效投标人数量≥16家时，去掉2个最高和2个最低的有效投标人评审价后，再计算其余有效投标人评审价的算术平均值的98%为基准价。
评标基准价的计算方法：去掉2个最高和2个最低有效投标人的评审价， A=【a1+a2+……+aN-2[a（min）。该项目投标报价占40分。
注：A=评标基准价 a=有效评审价 N=有效投标人的数量。
得分=40-【（|有效评审价-评标基准价|÷评标基准价）×100×Q】
①当a<A时，Q=0.25；当a>A时，Q=0.5；
②计算分数时四舍五入取小数点后两位。"
中国农业银行股份有限公司内蒙古自治区分行,2023,内蒙古,老,羽绒服,海澜之家集团股份有限公司,0,960.5,,1000,"1.投标人评审价格的计算：
投标人评审价格为单价不含税报价。
2.评标基准价计算方法：
1）经初审合格的投标文件，其投标报价为有效投标价，评标计算价格分时，以不含税报价为依据；
2）当有效投标人数量＜8家时，计算所有有效投标人评审价的算术平均值的98%作为基准价；
评标基准价的计算方法： A=（a1+a2+……+aN）/N*0.98
3）16>当有效投标人数量≥8家时，去掉1个最高和1个最低的有效投标人评审价后，再计算其余有效投标人评审价的算术平均值的98%为基准价。
评标基准价的计算方法：去掉1个最高和1个最低有效投标人的评审价， A= 【a1+a2+……+aN-a（min）-a（max）】/（N-2）*0.98；
4）当有效投标人数量≥16家时，去掉2个最高和2个最低的有效投标人评审价后，再计算其余有效投标人评审价的算术平均值的98%为基准价。
评标基准价的计算方法：去掉2个最高和2个最低有效投标人的评审价， A=【a1+a2+……+aN-2[a（min）。该项目投标报价占40分。
注：A=评标基准价 a=有效评审价 N=有效投标人的数量。
得分=40-【（|有效评审价-评标基准价|÷评标基准价）×100×Q】
①当a<A时，Q=0.25；当a>A时，Q=0.5；
②计算分数时四舍五入取小数点后两位。"
中国农业银行股份有限公司内蒙古自治区分行,2023,内蒙古,老,羽绒服,波司登股份有限公司,1,890,,1000,"1.投标人评审价格的计算：
投标人评审价格为单价不含税报价。
2.评标基准价计算方法：
1）经初审合格的投标文件，其投标报价为有效投标价，评标计算价格分时，以不含税报价为依据；
2）当有效投标人数量＜8家时，计算所有有效投标人评审价的算术平均值的98%作为基准价；
评标基准价的计算方法： A=（a1+a2+……+aN）/N*0.98
3）16>当有效投标人数量≥8家时，去掉1个最高和1个最低的有效投标人评审价后，再计算其余有效投标人评审价的算术平均值的98%为基准价。
评标基准价的计算方法：去掉1个最高和1个最低有效投标人的评审价， A= 【a1+a2+……+aN-a（min）-a（max）】/（N-2）*0.98；
4）当有效投标人数量≥16家时，去掉2个最高和2个最低的有效投标人评审价后，再计算其余有效投标人评审价的算术平均值的98%为基准价。
评标基准价的计算方法：去掉2个最高和2个最低有效投标人的评审价， A=【a1+a2+……+aN-2[a（min）。该项目投标报价占40分。
注：A=评标基准价 a=有效评审价 N=有效投标人的数量。
得分=40-【（|有效评审价-评标基准价|÷评标基准价）×100×Q】
①当a<A时，Q=0.25；当a>A时，Q=0.5；
②计算分数时四舍五入取小数点后两位。"
中国农业银行股份有限公司内蒙古自治区分行,2023,内蒙古,老,羽绒服,雅鹿集团股份有限公司,1,915.3,,1000,"1.投标人评审价格的计算：
投标人评审价格为单价不含税报价。
2.评标基准价计算方法：
1）经初审合格的投标文件，其投标报价为有效投标价，评标计算价格分时，以不含税报价为依据；
2）当有效投标人数量＜8家时，计算所有有效投标人评审价的算术平均值的98%作为基准价；
评标基准价的计算方法： A=（a1+a2+……+aN）/N*0.98
3）16>当有效投标人数量≥8家时，去掉1个最高和1个最低的有效投标人评审价后，再计算其余有效投标人评审价的算术平均值的98%为基准价。
评标基准价的计算方法：去掉1个最高和1个最低有效投标人的评审价， A= 【a1+a2+……+aN-a（min）-a（max）】/（N-2）*0.98；
4）当有效投标人数量≥16家时，去掉2个最高和2个最低的有效投标人评审价后，再计算其余有效投标人评审价的算术平均值的98%为基准价。
评标基准价的计算方法：去掉2个最高和2个最低有效投标人的评审价， A=【a1+a2+……+aN-2[a（min）。该项目投标报价占40分。
注：A=评标基准价 a=有效评审价 N=有效投标人的数量。
得分=40-【（|有效评审价-评标基准价|÷评标基准价）×100×Q】
①当a<A时，Q=0.25；当a>A时，Q=0.5；
②计算分数时四舍五入取小数点后两位。"
上海市临港新片区行政服务中心,2023,上海,新,西服,浙江乔治白服饰股份有限公司,1,308880,,425000,最低价评标
上海市临港新片区行政服务中心,2023,上海,新,西服,海澜之家集团股份有限公司,0,3115000,,425000,最低价评标
南充市政务服务管理局,2023,四川,新,西服,海澜之家集团股份有限公司,0,458660,,472000,"以本次有效的最低最后磋商报价为
基准价，其价格分为满分30分。其
他价格分统一按照下列公式计算：
报价得分=(基准价／最后磋商报价
)×30%×100。"
南充市政务服务管理局,2023,四川,新,西服,罗蒙集团股份有限公司,1,459180,,472000,"以本次有效的最低最后磋商报价为
基准价，其价格分为满分30分。其
他价格分统一按照下列公式计算：
报价得分=(基准价／最后磋商报价
)×30%×100。"
南充市政务服务管理局,2023,四川,新,西服,上海宝鸟服饰有限公司,0,433908,,472000,"以本次有效的最低最后磋商报价为
基准价，其价格分为满分30分。其
他价格分统一按照下列公式计算：
报价得分=(基准价／最后磋商报价
)×30%×100。"
中信银行股份有限公司重庆分行,2023,,,西服,海澜之家集团股份有限公司,1,674973,,,
中信银行股份有限公司重庆分行,2023,重庆,老,大衣,海澜之家集团股份有限公司,1,292800,,297600,
中国工商银行股份有限公司贵州省分行,2023,贵州,新,西服,澜之家集团股份有限公司,1,16575,,,"投标总价得分（Ⅰ）（35 分）
①评标基准价计算公式：J=(B1+B2+…+ Bn )÷n
B1 B2……Bn 为n 个有效投标总价，当有效投标总价个数n＞3 且n≤9 时，J
为去掉一个最高和一个最低总价后的算术平均值；当有效投标总价个数n＞9
时，J 为去掉二个最高和一个最低总价后的算术平均值；当有效投标总价个数
n≤3 时，J 为全部有效投标总价的算术平均值。
②偏差率计算公式
P=│Bn -J│÷J×100%
Bn–--第n 个有效投标总价
J–--评标基准价
③投标总价得分计算公式：Ⅰ=35－P×K×100
Ⅰ–--投标总价得分（Ⅰ≥0）
P--–偏差率
K–--扣分系数：Bn 大于J 时，K 取0.2；Bn 小于J 时，K 取0.1；Bn 等于J
时，K 取0。
投标总价=所报各项单价之和。"
中国工商银行股份有限公司贵州省分行,2023,贵州,新,西服,法派服饰股份有限公司,0,18868,,,"投标总价得分（Ⅰ）（35 分）
①评标基准价计算公式：J=(B1+B2+…+ Bn )÷n
B1 B2……Bn 为n 个有效投标总价，当有效投标总价个数n＞3 且n≤9 时，J
为去掉一个最高和一个最低总价后的算术平均值；当有效投标总价个数n＞9
时，J 为去掉二个最高和一个最低总价后的算术平均值；当有效投标总价个数
n≤3 时，J 为全部有效投标总价的算术平均值。
②偏差率计算公式
P=│Bn -J│÷J×100%
Bn–--第n 个有效投标总价
J–--评标基准价
③投标总价得分计算公式：Ⅰ=35－P×K×100
Ⅰ–--投标总价得分（Ⅰ≥0）
P--–偏差率
K–--扣分系数：Bn 大于J 时，K 取0.2；Bn 小于J 时，K 取0.1；Bn 等于J
时，K 取0。
投标总价=所报各项单价之和。"
中国工商银行股份有限公司贵州省分行,2023,贵州,新,西服,江苏红豆实业股份有限公司,0,18210,,,"投标总价得分（Ⅰ）（35 分）
①评标基准价计算公式：J=(B1+B2+…+ Bn )÷n
B1 B2……Bn 为n 个有效投标总价，当有效投标总价个数n＞3 且n≤9 时，J
为去掉一个最高和一个最低总价后的算术平均值；当有效投标总价个数n＞9
时，J 为去掉二个最高和一个最低总价后的算术平均值；当有效投标总价个数
n≤3 时，J 为全部有效投标总价的算术平均值。
②偏差率计算公式
P=│Bn -J│÷J×100%
Bn–--第n 个有效投标总价
J–--评标基准价
③投标总价得分计算公式：Ⅰ=35－P×K×100
Ⅰ–--投标总价得分（Ⅰ≥0）
P--–偏差率
K–--扣分系数：Bn 大于J 时，K 取0.2；Bn 小于J 时，K 取0.1；Bn 等于J
时，K 取0。
投标总价=所报各项单价之和。"
中国工商银行股份有限公司贵州省分行,2023,贵州,新,西服,江苏虎豹集团有限公司,0,16991,,,"投标总价得分（Ⅰ）（35 分）
①评标基准价计算公式：J=(B1+B2+…+ Bn )÷n
B1 B2……Bn 为n 个有效投标总价，当有效投标总价个数n＞3 且n≤9 时，J
为去掉一个最高和一个最低总价后的算术平均值；当有效投标总价个数n＞9
时，J 为去掉二个最高和一个最低总价后的算术平均值；当有效投标总价个数
n≤3 时，J 为全部有效投标总价的算术平均值。
②偏差率计算公式
P=│Bn -J│÷J×100%
Bn–--第n 个有效投标总价
J–--评标基准价
③投标总价得分计算公式：Ⅰ=35－P×K×100
Ⅰ–--投标总价得分（Ⅰ≥0）
P--–偏差率
K–--扣分系数：Bn 大于J 时，K 取0.2；Bn 小于J 时，K 取0.1；Bn 等于J
时，K 取0。
投标总价=所报各项单价之和。"
中国工商银行股份有限公司贵州省分行,2023,贵州,新,西服,上海宝鸟服饰有限公司,0,18966,,,"投标总价得分（Ⅰ）（35 分）
①评标基准价计算公式：J=(B1+B2+…+ Bn )÷n
B1 B2……Bn 为n 个有效投标总价，当有效投标总价个数n＞3 且n≤9 时，J
为去掉一个最高和一个最低总价后的算术平均值；当有效投标总价个数n＞9
时，J 为去掉二个最高和一个最低总价后的算术平均值；当有效投标总价个数
n≤3 时，J 为全部有效投标总价的算术平均值。
②偏差率计算公式
P=│Bn -J│÷J×100%
Bn–--第n 个有效投标总价
J–--评标基准价
③投标总价得分计算公式：Ⅰ=35－P×K×100
Ⅰ–--投标总价得分（Ⅰ≥0）
P--–偏差率
K–--扣分系数：Bn 大于J 时，K 取0.2；Bn 小于J 时，K 取0.1；Bn 等于J
时，K 取0。
投标总价=所报各项单价之和。"
东营市城市建设投资集团有限公司,2023,山东,新,西服,海澜之家集团股份有限公司,0,1633040,,1644000,"以本次有效的最低最后磋商报价为
基准价，其价格分为满分30分。其
他价格分统一按照下列公式计算：
报价得分=(基准价／最后磋商报价
)×30%×100。"
东营市城市建设投资集团有限公司,2023,山东,新,西服,浙江乔治白服饰股份有限公司,1,1528920,,1644000,"以本次有效的最低最后磋商报价为
基准价，其价格分为满分30分。其
他价格分统一按照下列公式计算：
报价得分=(基准价／最后磋商报价
)×30%×100。"
山东广饶农村商业银行股份有限公司,2023,山东,老,西服,海澜之家集团股份有限公司,0,2462952,,2784000,"1.评标基准价的确定：投标人有效投标报价平均值作为
评标基准价。
2.投标人的投标报价与评标基准价比较，等于评标基准
价的，此项得分为30 分；其他报价得分统一按照下列
公式计算：投标人项目报价得分=（评标基准价/投标人
报价）×27，本项最高得30 分。"
山东广饶农村商业银行股份有限公司,2023,山东,老,西服,江苏虎豹集团有限公司,1,2691600,,2784000,"1.评标基准价的确定：投标人有效投标报价平均值作为
评标基准价。
2.投标人的投标报价与评标基准价比较，等于评标基准
价的，此项得分为30 分；其他报价得分统一按照下列
公式计算：投标人项目报价得分=（评标基准价/投标人
报价）×27，本项最高得30 分。"
芜湖津盛农村商业银行股份有限公司,2023,安徽,新,西服,海澜之家集团股份有限公司,0,975300,,1000000,"1.基准价为：所有有效投标人报价的算术平均（基准价=投标人报价相加/投标人数，保留小数点后两位有效数字，第三位四舍五入）。投标报价等于基准价的为满分，此项满分30分。  
2.其余投标人报价得分评分办法:投标报价每高于评标基准价 1%的，扣 0.2分；投标报价每低于基准价 1%的，扣0.2分，投标报价得分扣完为止。（计算公示：A为投标报价，B为基准价C为报价得分,若A>B,C=30-(A-B)/B*100*0.2,若A<B，C=30-(B-A)/B*100*0.2，保留小数点后两位有效数字，第三位四舍五入)（不足1%的,按线性插入法计算）。"
芜湖津盛农村商业银行股份有限公司,2023,安徽,新,西服,宁波培罗成股份有限公司,1,860000,,1000000,"1.基准价为：所有有效投标人报价的算术平均（基准价=投标人报价相加/投标人数，保留小数点后两位有效数字，第三位四舍五入）。投标报价等于基准价的为满分，此项满分30分。  
2.其余投标人报价得分评分办法:投标报价每高于评标基准价 1%的，扣 0.2分；投标报价每低于基准价 1%的，扣0.2分，投标报价得分扣完为止。（计算公示：A为投标报价，B为基准价C为报价得分,若A>B,C=30-(A-B)/B*100*0.2,若A<B，C=30-(B-A)/B*100*0.2，保留小数点后两位有效数字，第三位四舍五入)（不足1%的,按线性插入法计算）。"
重庆燃气集团股份有限公司,2023,重庆,老,西服,海澜之家集团股份有限公司,1,1995760,,2302800,"所有通过初步评审的投标人的有效投标报价中去掉六分之一（不能整除的按小数前整数取整，不足六家报价则不去掉）的最低价和相同家数的最高价后的算术平均值作为投标报价的评标基准价。
计算结果保留小数点后两位，小数点后第三位“四舍五入”。
只有通过资格评审、形式评审及响应性评审的投标人的投标报价才参与评标基准价的计算及后续的评审。偏差率=1OO％×（投标人报价－评标基准价）／评标基准价
以上计算结果取小数点后两位，第三位四舍五入。投标报价与评标基准价相比，相等的得50分；在此基础上，每增加1%扣1分，每减少1%扣0.5分，扣完为止。
按插入法计算得分，以上计算结果取小数点后两位，第三位四舍五入。"
青岛胶州金胶州资产经营有限公司 ,2023,山东,新,西服,海澜之家集团股份有限公司,1,626500,,640000,"满足招标文件要求且投标价格(或者最终价格)最低的投标报价为评
标基准价，其价格分为满分。
其它报价得分=评标基准价÷(投标报价或者最终价格)×35。"
浩宇集团有限公司,2023,山东,,夹克,海澜之家集团股份有限公司,,3812000,,,
重庆市合川瑞山中学,2023,重庆,,校服,海澜之家集团股份有限公司,,160,,,
广安市城市管理行政执法局,2023,四川,新,制式服装,海澜之家集团股份有限公司,0,832689.9,,840000,"报价分的评审标准：以本次有效的
最低投标报价为基准价，报价得分
＝(评标基准价／经评审的投标报价
)×33。"
广安市城市管理行政执法局,2023,四川,新,制式服装,重庆段氏服饰实业有限公司,1,671998.92,,840000,"报价分的评审标准：以本次有效的
最低投标报价为基准价，报价得分
＝(评标基准价／经评审的投标报价
)×33。"
仪征市行政审批局,2023,苏北,新,西服,海澜之家集团股份有限公司,0,761600,,884800,"以满足招标文件要求的最低报价为基准价，得满分30分。
其它报价得分＝（基准价/其他报价）×30×100％（小数点保留两位数）"
仪征市行政审批局,2023,苏北,新,西服,报喜鸟控股股份有限公司,1,867300,,867300,"以满足招标文件要求的最低报价为基准价，得满分30分。
其它报价得分＝（基准价/其他报价）×30×100％（小数点保留两位数）"
吉林省民航机场集团有限公司,2023,吉林,老,西服,海澜之家集团股份有限公司,0,3210000,,3448820,"B= M%×（B1+B2+……Bi）/I
M％——折扣系数=100%。
注：B表示评审基准价；B1、B2……Bi表示有效的报价（有效的报价指通过比选应答文件初步评审的报价）；i表示有效报价的个数；有效应答超过5家（不含5家），将去掉最高报价和最低报价。按插入法计算得分。
Bi＞B：每高一个百分点从50分中扣1分；
Bi﹦B：得50分；
Bi＜B：每低一个百分点从50分中扣0.5分；
扣完为止，得分四舍五入保留小数点后两位。"
吉林省民航机场集团有限公司,2023,吉林,老,西服,深圳市卡皮奥实业有限公司,1,2931497,,3448820,"B= M%×（B1+B2+……Bi）/I
M％——折扣系数=100%。
注：B表示评审基准价；B1、B2……Bi表示有效的报价（有效的报价指通过比选应答文件初步评审的报价）；i表示有效报价的个数；有效应答超过5家（不含5家），将去掉最高报价和最低报价。按插入法计算得分。
Bi＞B：每高一个百分点从50分中扣1分；
Bi﹦B：得50分；
Bi＜B：每低一个百分点从50分中扣0.5分；
扣完为止，得分四舍五入保留小数点后两位。"
吉林省民航机场集团有限公司,2023,吉林,老,西服,浙江乔顿服饰股份有限公司,0,2709042,,3448820,"B= M%×（B1+B2+……Bi）/I
M％——折扣系数=100%。
注：B表示评审基准价；B1、B2……Bi表示有效的报价（有效的报价指通过比选应答文件初步评审的报价）；i表示有效报价的个数；有效应答超过5家（不含5家），将去掉最高报价和最低报价。按插入法计算得分。
Bi＞B：每高一个百分点从50分中扣1分；
Bi﹦B：得50分；
Bi＜B：每低一个百分点从50分中扣0.5分；
扣完为止，得分四舍五入保留小数点后两位。"
吉林省民航机场集团有限公司,2023,吉林,老,西服,福建柒牌时装科技股份有限公司,0,2919270,,3448820,"B= M%×（B1+B2+……Bi）/I
M％——折扣系数=100%。
注：B表示评审基准价；B1、B2……Bi表示有效的报价（有效的报价指通过比选应答文件初步评审的报价）；i表示有效报价的个数；有效应答超过5家（不含5家），将去掉最高报价和最低报价。按插入法计算得分。
Bi＞B：每高一个百分点从50分中扣1分；
Bi﹦B：得50分；
Bi＜B：每低一个百分点从50分中扣0.5分；
扣完为止，得分四舍五入保留小数点后两位。"
广西北部湾银行股份有限公司  ,2023,广西,新,西服,海澜之家集团股份有限公司,1,1900000,,1900000,"一、评分基准值:评分基准值C=(B1+B2+……Bn)÷ｎ；
其中：
1、n为有效磋商报价的个数，B1、B2、……Bn为各供应商的最终磋商报价； 
2、当最终磋商报价供应商在5家以上时，去掉一个磋商最终报价最高价和一个磋商最终报价最低价进行平均值计算。
二、报价分：
1、最终报价等于基准价或离基准价的偏离度小于1%的，得满分，即10分。否则：
（1）最终报价高于基准价的，价格分=10-10*|(供应商报价-基准价)|/基准价。否则：
（2）最终报价低于基准价的，价格分=10-0.5*10*|(供应商报价-基准价)|/基准价
2、分值保留至小数点后两位。"
广西北部湾银行股份有限公司  ,2023,广西,新,衬衣,海澜之家集团股份有限公司,0,10465000,,11555000,"一、评分基准值:评分基准值C=(B1+B2+……Bn)÷ｎ；
其中：
1、n为有效磋商报价的个数，B1、B2、……Bn为各供应商的最终磋商报价； 
2、当最终磋商报价供应商在5家以上时，去掉一个磋商最终报价最高价和一个磋商最终报价最低价进行平均值计算。
二、报价分：
1、最终报价等于基准价或离基准价的偏离度小于1%的，得满分，即10分。否则：
（1）最终报价高于基准价的，价格分=10-10*|(供应商报价-基准价)|/基准价。否则：
（2）最终报价低于基准价的，价格分=10-0.5*10*|(供应商报价-基准价)|/基准价
2、分值保留至小数点后两位。"
广西北部湾银行股份有限公司  ,2023,广西,新,衬衣,浙江乔治白服饰股份有限公司,1,11023000,,11555000,"一、评分基准值:评分基准值C=(B1+B2+……Bn)÷ｎ；
其中：
1、n为有效磋商报价的个数，B1、B2、……Bn为各供应商的最终磋商报价； 
2、当最终磋商报价供应商在5家以上时，去掉一个磋商最终报价最高价和一个磋商最终报价最低价进行平均值计算。
二、报价分：
1、最终报价等于基准价或离基准价的偏离度小于1%的，得满分，即10分。否则：
（1）最终报价高于基准价的，价格分=10-10*|(供应商报价-基准价)|/基准价。否则：
（2）最终报价低于基准价的，价格分=10-0.5*10*|(供应商报价-基准价)|/基准价
2、分值保留至小数点后两位。"
中国二十冶集团有限公司,2023,上海,,工作服,海澜之家集团股份有限公司,0,4562000,,,最低价中标
中国二十冶集团有限公司,2023,上海,,工作服,上海同舟服饰发展有限公司,1,3191000,,,最低价中标
中信银行长沙分行,2023,湖南,,西服,宁波雅戈尔服饰有限公司,1,1456440,,1499280,"报价得分＝满分×（最低有效报价/报价）。
本项满分30分，最低0分，得分保留2位小数。"
中信银行长沙分行,2023,湖南,,西服,海澜之家集团股份有限公司,0,1271988,,1499280,"报价得分＝满分×（最低有效报价/报价）。
本项满分30分，最低0分，得分保留2位小数。"
湖北孝昌农村商业银行股份有限公司,2023,湖北,,大衣,海澜之家集团股份有限公司,1,377400,,421800,"报价得分＝满分×（最低有效报价/报价）。
本项满分30分，最低0分，得分保留2位小数。"
中信银行股份有限公司合肥分行,2023,安徽,,西服,海澜之家集团股份有限公司,1,574200,,918800,"报价得分＝满分×（最低有效报价/报价）。
本项满分42分，最低0分，得分保留2位小数。"
中信银行股份有限公司合肥分行,2023,安徽,,衬衫,海澜之家集团股份有限公司,0,348100,,637200,"报价得分＝满分×（最低有效报价/报价）。
本项满分42分，最低0分，得分保留2位小数。"
中信银行股份有限公司合肥分行,2023,安徽,,衬衫,山东南山智尚科技股份有限公司,1,342200,,637200,"报价得分＝满分×（最低有效报价/报价）。
本项满分42分，最低0分，得分保留2位小数。"
